country,score,gdp_per_capita,social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,region_Australia and New Zealand,region_Central and Eastern Europe,region_Eastern Asia,region_Latin America and Caribbean,region_Middle East and Northern Africa,region_North America,region_Southeastern Asia,region_Southern Asia,region_Sub-Saharan Africa,region_Western Europe,region_Western Europre,year_2015,year_2016,year_2017,year_2018,year_2019
Libya,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Russia,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Jamaica,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
North Cyprus,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Cyprus,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Kosovo,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Turkmenistan,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mauritius,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Hong Kong,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Estonia,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Indonesia,5.399,0.82827,1.08708,0.63793,0.46611,0.0,0.51535,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Vietnam,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Turkey,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Kyrgyzstan,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Nigeria,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Bhutan,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Azerbaijan,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Jordan,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Montenegro,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
China,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Romania,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Serbia,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Portugal,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
